"date","SDP","VAS","KOK","KESK","RKP","KD","VIHR","PERUSS","MUU"
"2002-1","26.4","8.9","19.3","22.5","3.8","4.8","11.1","0.9","2.4"
"2002-2","25.1","8.9","18.5","22.6","4","4.3","13.6","1.6","1.4"
"2002-3","24.5","8.1","20.6","22.7","4","3.9","12.8","1","2.4"
"2002-4","25","8.3","18.5","24","4.3","4.4","12.3","1.3","1.9"
"2002-5","..","..","..","..","..","..","..","..",".."
"2002-6","23.7","9.7","19.3","22.9","4","4.4","12.1","1","2.9"
"2002-7","22.8","10.1","19.4","22.7","4.7","4.2","12.8","1.6","1.7"
"2002-8","25.4","7.4","19.6","24","4.5","4.1","12.5","1.5","1"
"2002-9","24.1","9.3","18.9","23","4.7","4","13.1","1.2","1.7"
"2002-10","24.7","8.5","18.3","24.4","4.2","4.5","12.5","1.1","1.8"
"2003-1","22.9","9.4","20.7","24.8","4.5","4.9","8","1.1","3.7"
"2003-2","27.7","9.4","17.2","23.5","3.7","4.9","9.6","3.1","0.9"
"2003-3","26.6","8.9","17.8","23.8","3.7","4.2","10","2.8","2.2"
"2003-4","25.9","8.9","18","23.4","3.6","5.1","10.4","3.0","1.7"
"2003-5","..","..","..","..","..","..","..","..",".."
"2003-6","27.7","8.9","17.1","22.5","3.7","4.6","11.6","2.9","1.0"
"2003-7","26.2","8.3","17.6","22.6","3.7","5.4","12.1","2.9","1.2"
"2003-8","25.7","8.3","16.4","23.7","4.0","4.8","12.8","2.3","2.0"
"2003-9","26.9","8.8","17.3","24.5","3.9","3.9","11.4","2.4","0.9"
"2003-10","27.5","7.5","17.1","25.4","3.6","4.3","9.9","3.3","1.4"
"2004-1","25.6","9.2","17.9","24.4","4.2","5.7","10.3","1.6","1.1"
"2004-2","26.4","9.2","16.6","24.1","4.2","6.1","9.6","2.2","1.6"
"2004-3","25.5","9.2","17.8","23.8","3.9","5.1","10.7","2.2","1.8"
"2004-4","25.2","9.9","17.8","24.3","3.5","5.3","10.6","1.5","1.9"
"2004-5","25.5","9.1","17.7","23.5","4.4","5.5","9.9","2.1","2.3"
"2004-6","25.3","9.3","17.4","24.8","4","5","9.8","2.2","2.2"
"2004-7","..","..","..","..","..","..","..","..",".."
"2004-8","25.5","9.2","17","25.2","4.1","5.1","9.6","1.8","2.5"
"2004-9","25","9.8","17.8","24.7","4","5.3","9.8","1.8","1.8"
"2004-10","25.1","10","18.3","24.1","4.1","5.6","9.3","1.3","2.2"
"2004-11","24.9","9.8","19.9","24.4","4.2","5.6","8.7","1.4","1.1"
"2004-12","24.6","9.8","20.1","24","4.1","5.7","9.3","2","0.4"
"2005-1","26","9.1","18.9","25.2","4.1","5.1","8.7","1.8","0.9"
"2005-2","25.4","9.0","20.1","24.7","3.8","5.0","9.4","1.7","0.9"
"2005-3","25.5","9.3","18.9","24.7","4.4","5.6","9.6","1.9","0.1"
"2005-4","24.7","9.2","19.8","24.1","4.8","5.2","9.1","1.7","1.4"
"2005-5","25.6","8.8","21","24.2","4.1","5.1","9.0","1.6","0.6"
"2005-6","25.3","9.2","20.1","23.8","4.1","5.4","9.2","1.9","1.0"
"2005-7","..","..","..","..","..","..","..","..",".."
"2005-8","25.8","9.4","20.3","23.3","4.1","5.0","9.8","2.0","0.3"
"2005-9","25.6","9.7","19.7","24.1","4.0","5.4","9.7","1.7","0.1"
"2005-10","26.2","8.2","19.7","23.9","4.2","5.9","9.1","1.9","0.9"
"2005-11","24.7","9.5","19.9","23.1","4.2","5.6","10.1","2.2","1.0"
"2005-12","25.5","8.5","19.8","22.9","4.0","6.1","10.0","2.2","1.0"
"2006-1","26.3","9.1","20.2","22.1","4.2","5.7","9.0","3.1","0.3"
"2006-2","25.2","9.4","20.9","22.8","4.5","4.5","9.1","2.7","0.9"
"2006-3","25.6","8.6","21.9","23.5","4.2","4.9","9.1","2.2","0.0"
"2006-4","25.2","8.6","21.5","24.3","3.2","5.3","9.4","2.3","0.2"
"2006-5","25.2","8.2","20.8","24.0","4.6","5.3","8.7","2.6","0.6"
"2006-6","23.9","9.1","20.9","24.4","3.8","5.4","10.0","2.3","0.2"
"2006-7","..","..","..","..","..","..","..","..",".."
"2006-8","24.4","8.7","20.8","23.7","3.8","5.9","10.4","2.2","0.1"
"2006-9","24.8","8.8","20.6","24.1","3.8","5.4","10.0","2.2","0.3"
"2006-10","24.6","10.1","20.0","23.7","3.7","5.4","9.4","2.9","0.2"
"2006-11","24.8","9.6","19.8","23.3","4.0","5.7","9.8","3.0","0.0"
"2006-12","25.2","8.5","20.5","23.6","4.1","5.5","10.0","2.6","0.0"
"2007-1","23.8","9.5","20.3","24.2","4","5.4","8.9","3","0.9"
"2007-2","22.3","8.9","21.9","24.6","4.3","5.1","8.2","2.6","2.1"
"2007-3","21.3","9.3","20.4","24.7","5.0","5.1","9.7","2.5","2.0"
"2007-4","20.7","8.2","24.1","23.0","4.4","4.5","9.4","4.5","1.2"
"2007-5","21.7","8.4","23.4","22.4","4.1","4.7","10.1","4.3","0.9"
"2007-6","21.2","8.5","23.9","22.8","4.4","4.7","9.3","4.3","0.9"
"2007-7","21.2","8.5","23.6","22.3","4.5","4.6","9.4","4.7","1.2"
"2007-8","21.6","8.1","23.2","22.7","4.5","4.7","9.4","4.6","1.2"
"2007-9","21.8","7.9","22.8","22.6","4.4","4.8","9.8","4.8","1.1"
"2007-10","22.3","8.4","22.3","22.6","4.6","4.4","9.7","5.0","0.7"
"2007-11","22.5","8.5","22.7","22.3","4.1","4.6","9.6","4.5","1.2"
"2007-12","","","","","","","","",""
"2008-1","21.6","8.4","22.9","22.5","4.3","4.7","9.8","4.7","1.1"
"2008-2","22.5","8.3","23.2","22.0","4.0","4.3","9.9","4.8","1.0"
"2008-3","21.5","8.5","22.5","22.3","4.1","4.7","10.0","5.2","1.2"
"2008-4","21.8","8.3","22.9","21.7","4.4","4.5","9.9","5.2","1.3"
"2008-5","22.4","8.3","22.3","22.2","4.1","4.4","9.6","5.0","1.7"
"2008-6","21.4","8.7","22.5","21.6","4.6","4.3","9.7","5.5","1.7"
"2008-7","20.4","8.3","22.0","22.0","4.4","4.8","10.1","5.9","2.1"
"2008-8","21.8","8.9","22.4","22.1","4.6","4.1","9.7","3.8","2.6"
"2008-9","21.7","8.7","22.0","22.1","4.4","3.8","10.2","4.5","2.6"
"2008-10","20.6","8.4","23.4","21.2","4.3","4.8","9.7","5.2","2.4"
"2008-11","21.6","7.8","23.5","21.6","4.4","3.7","9.7","6.3","1.4"
"2008-12","20.2","8.2","24.2","20.7","4.1","3.8","10.1","7.1","1.6"
"2009-1","20.0","7.6","25.1","19.2","4.4","4.0","10.0","8.3","1.4"
"2009-2","19.9","7.5","25.2","19.6","4.3","3.9","10.2","8.1","1.3"
"2009-3","19.6","8.0","24.4","20.3","4.2","3.7","10.3","7.8","1.7"
